track,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
Starboy,0.165,0.681,0.594,0.134,-7.028,0.282,186.054,0.535
Youth,0.108,0.648,0.733,0.113,-7.803,0.0306,96.003,0.752
High And Low,0.0193,0.508,0.782,0.089,-4.667,0.0454,126.917,0.286
Season 2 Episode 3,0.565,0.739,0.283,0.239,-7.965,0.114,148.01,0.666
Good Grief,0.165,0.727,0.775,0.203,-4.8,0.0677,120.032,0.888
Renegades,0.0144,0.526,0.862,0.229,-6.003,0.0905,90.052,0.528
Hoops,0.248,0.738,0.517,0.468,-5.82,0.0321,96.037,0.772
Make Them Wheels Roll,0.317,0.731,0.677,0.112,-5.463,0.0368,95.026,0.459
Keeping Score (feat. Paige IV),0.0245,0.629,0.618,0.0938,-5.51,0.0918,92.071,0.644
Ride,0.00835,0.645,0.713,0.113,-5.355,0.0393,74.989,0.566
ILYSB,0.603,0.623,0.627,0.316,-6.73,0.0518,100.04,0.459
Walk The Wire,0.00116,0.534,0.894,0.0981,-5.015,0.0418,139.48,0.713
"Listen to Soul, Listen to Blues",0.501,0.594,0.672,0.0906,-8.669,0.0507,89.972,0.161
Dead Sea,0.81,0.713,0.319,0.142,-11.099,0.028,94.043,0.472
7,0.000238,0.524,0.726,0.0978,-4.92,0.0437,155.089,0.311
Little Talks,0.0206,0.445,0.757,0.146,-5.177,0.0322,102.878,0.421
Flowers in Your Hair,0.749,0.67,0.609,0.227,-10.088,0.0333,127.463,0.573
What You Know,0.000665,0.55,0.753,0.0921,-4.003,0.0407,139.048,0.841
Golden Skans,0.000418,0.463,0.836,0.25,-2.776,0.0381,141.955,0.713
A-Punk,0.0102,0.551,0.821,0.153,-4.489,0.0539,174.923,0.842
Whale Song,0.507,0.626,0.579,0.105,-8.918,0.0527,119.939,0.0544
Zebra,0.124,0.622,0.642,0.165,-6.996,0.0451,78.594,0.767
Ophelia,0.613,0.664,0.573,0.0857,-6.519,0.0277,76.023,0.566
Pumped Up Kicks,0.145,0.733,0.71,0.0956,-5.849,0.0292,127.975,0.965
Walking On A Dream,0.245,0.87,0.699,0.0588,-5.541,0.0459,126.967,0.726
Breezeblocks,0.096,0.616,0.656,0.205,-7.298,0.0344,150.071,0.286
Electric Indigo,0.122,0.576,0.698,0.117,-8.011,0.035,95.978,0.698
Tighten Up,0.00121,0.504,0.705,0.453,-6.179,0.0665,108.965,0.567
Seaside,0.732,0.616,0.41,0.123,-8.523,0.0413,129.498,0.324
All These Things That I've Done,0.00156,0.557,0.728,0.118,-6.181,0.0405,118.241,0.216
Southern Sun,0.136,0.538,0.719,0.187,-5.94,0.0348,118.315,0.502
Lisztomania,0.0383,0.642,0.808,0.547,-6.406,0.0463,97.565,0.273
Don't Wanna Fight,0.235,0.597,0.915,0.106,-3.298,0.152,100.444,0.555
